text	label_rumor
RT @ ltsChuckBass : $T$ is everything # MCM	0
RT @ ltsChuckBass : Chuck Bass is everything $T$	0
$T$ September 7 - - - - Shut Down New York City	0
Millions For Trayvon September 7 - - - - Shut Down $T$	0
Me as $T$ .	0
Former $T$ boss Rod Petricevic will be released from jail next month .	0
Former Bridgecorp boss $T$ will be released from jail next month .	0
Tried $T$ for an out of game Halo 5 experience and holograms are totally awesome # E3	0
Tried HoloLens for an out of game Halo 5 experience and holograms are totally awesome $T$	0
RT @ BBC Travel : Chasing light and shadows in beautiful $T$ : # architecture	0
RT @ MySportsLegion : $T$ is already wearing a Johnny Football Browns jersey . ( via @ WFNYScott )	0
RT @ MySportsLegion : LeBron James is already wearing a $T$ Football Browns jersey . ( via @ WFNYScott )	0
RT @ MySportsLegion : LeBron James is already wearing a Johnny $T$ jersey . ( via @ WFNYScott )	0
RT @ arasmusKTVU : # BaytoBreakers race delayed because of unstable arch at $T$ ( per Mayors office ) # KTVU	0
RT @ arasmusKTVU : # BaytoBreakers race delayed because of unstable arch at Hayes st hill ( per Mayors office ) $T$	0
$T$ gov candidate Kirk Dillard greets supporters as the race tightens on primary election night	0
GOP gov candidate $T$ greets supporters as the race tightens on primary election night	0
RT @ BI Defense : $T$ scrambles Typhoon jets to see off Russian bombers	1
$T$ tells # Congobrazza to do more to attract foreign companies in agriculture	0
Hanging out with $T$ # Blackhawks # WinterClassic	0
Hanging out with Corey $T$ # WinterClassic	0
RT @ ESPN FirstTake : I think he should STAY in $T$ . - @ stephenasmith # RevisFuture	0
$T$ holds its own mini - parade around 70th anniversary of WWII victory : https : t . co JNz6Ocp595	0
Taiwan holds its own mini - parade around 70th anniversary of $T$ victory : https : t . co JNz6Ocp595	0
. @ TheSwonBrothers @ SwonBrothers Performing July 24th at the $T$	0
RT @ nytimes : A French take on tagine , from $T$	0
RT @ thehill : Poll : $T$ amp Trump lead 2016 GOP field	0
RT @ thehill : Poll : Bush amp $T$ lead 2016 GOP field	0
RT @ thehill : Poll : Bush amp Trump lead 2016 $T$ field	0
RT @ business : $T$ is now almost twice as valuable as the next biggest company on Earth	0
RT @ barrabest : A great photo of $T$ . Taken @ DeeGregg .	0
$T$ celebrates his goal , but the good times didn ' t last . # Blackhawks fall :	0
Brent Seabrook celebrates his goal , but the good times didn ' t last . $T$ fall :	0
This is a fantastic idea - a purifying wave pool for surfers built into the $T$ :	0
RT @ Cosmopolitan : It ' s OK if these sexy shirtless photos of TFIOS ' $T$ makes you . . . feel things	0
RT @ BarackObama : # ClimateChangeIsReal . So are the actions $T$ is taking to tackle it .	0
RT @ Swiftwriting : $T$ looking absolutely flawless at the BBC Teen Awards .	0
